GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,QuadClass,NumArticles,NumSources,AvgTone
590523235,20161019,STUDENT,SINGAPORE,4,10,1,-5.71428571428571
590708876,20161019,FIGHTER,MALAYSIA,4,10,1,-2.64550264550264
600966321,20161121,SINGAPORE,CHINESE,4,8,1,-3.125
616875721,20170113,SINGAPORE,ISLAM,4,3,1,-4.92957746478873
440682324,20150613,JAPAN,PRIME MINISTER,4,2,1,2.53807106598985
458837349,20150818,THAILAND,HINDU,4,8,2,-8.87329777346753
446419434,20150706,THIEVES,SINGAPOREAN,4,10,1,-4.49438202247191
642295601,20170331,SINGAPORE,MILITANT,4,4,1,-5.17782883066275
642125485,20170331,SINGAPORE,MILITANT,4,4,1,-6.31578947368423
642220226,20170331,BANGLADESH,MILITANT,4,2,1,-8.10810810810811
642229138,20170331,INTELLIGENCE,MILITANT,4,16,1,-4.48459280997799
642263215,20170331,SINGAPORE,ARMY,4,4,1,-6.92640692640692
458496997,20150817,SINGAPORE,SINGAPORE,4,2,1,-4.62351387054161
578237509,20160912,SINGAPORE,FARMER,4,7,1,-5.15021459227468
578070619,20160911,SINGAPORE,SPOKESMAN,4,2,1,-6.93739424703891
578107443,20160912,SINGAPORE,SPOKESMAN,4,2,1,-6.27118644067796
640563479,20170325,SINGAPORE,POLICE,4,4,1,-5.84415584415584
615252157,20170109,UNIVERSITY,MALE,4,10,1,-1.98915009041591
615660867,20170110,HUNTER,MALE,4,10,1,-9.21985815602837
619736819,20170123,EMPLOYER,MINISTRY,4,10,1,-5.5205047318612
